name,three_classes
Agaricus arvensis,edible
Agaricus augustus,edible
Agaricus bisporus,edible
Agaricus bitorquis,edible
Agaricus blazei,edible
Agaricus bohusii,edible
Agaricus brunnescens,edible
Agaricus campestris,edible
Agaricus langei,edible
Agaricus litoralis,edible
Agaricus silvaticus,edible
Agaricus silvicola,edible
Agaricus urinascens,edible
Agrocybe aegerita,edible
Aleuria aurantia,edible
Amanita battarrae,edible
Amanita caesarea,edible
Amanita ceciliae,edible
Amanita crocea,edible
Amanita curtipes,edible
Amanita excelsa,edible
Amanita fulva,edible
Amanita ovoidea,edible
Amanita ponderosa,edible
Amanita rubescens,edible
Amanita strobiliformis,edible
Amanita vaginata,edible
Amanita vittadinii,edible
Armillaria mellea,edible
Armillaria tabescens,edible
Auricularia auricula-judae,edible
Auricularia polytricha,edible
Boletus aereus,edible
Boletus badius,edible
Boletus edulis,edible
Boletus erythropus,edible
Boletus ferrugineus,edible
Boletus pinophilus,edible
Boletus reticulatus,edible
Calocybe gambosa,edible
Boletus subtomentosus,edible
Butyriboletus appendiculatus,edible
Butyriboletus pseudoregius,edible
Butyriboletus regius,edible
Calbovista subsculpta,edible
Calvatia gigantea,edible
Calvatia utriformis,edible
Cantharellus cibarius,edible
Cantharellus cinereus,edible
Cantharellus lutescens,edible
Cantharellus melanoxeros,edible
Cantharellus subpruinosus,edible
Cantharellus tubaeformis,edible
Cantherellus tubaeformis,edible
Cerioporus corylinus,edible
Cerioporus squamosus,edible
Chalciporus piperatus,edible
Chlorophyllum rachodes,edible
Chroogomphus,edible
Chroogomphus rutilus,edible
Clavariaceae,edible
Clavariadelphus truncatus,edible
Clavulinaceae,edible
Clitocybe alexandri,edible
Clitocybe candida,edible
Clitocybe geotropa,edible
Clitocybe nebularis,edible
Clitocybe nuda,edible
Clitopilus prunulus,edible
Coprinus,edible
Coprinus comatus,edible
Cortinarius caperatus,edible
Cortinarius praestans,edible
Cortinarius variicolor,edible
Craterellus cornucopioides,edible
Craterellus lutescens,edible
Craterellus tubaeformis,edible
Cuphophyllus flavipes,edible
Cuphophyllus pratensis,edible
Cuphophyllus virgineus,edible
Cyclocybe aegerita,edible
Cyclocybe cylindracea,edible
Cyttaria espinosae,edible
Disciotis venosa,edible
Entoloma aprile,edible
Entoloma clypeatum,edible
Fistulina hepatica,edible
Flammulina velutipes,edible
Grifola frondosa,edible
Guepinia helvelloides,edible
Gymnopus confluens,edible
Gymnopus dryophilus,edible
Gyrodon lividus,edible
Gyromitra,edible
Gyroporus castaneus,edible
Helvella acetabulum,edible
Helvella crispa,edible
Helvella elastica,edible
Helvella fusca,edible
Helvella lacunosa,edible
Helvella leucomelaena,edible
Helvella leucopus,edible
Helvella sp,edible
Helvella sulcata,edible
Hericium coralloides,edible
Hericium erinaceus,edible
Higrocybe pratensis,edible
Hohenbuehelia petaloides,edible
Hortiboletus bubalinus,edible
Hydnum albidum,edible
Hydnum repandum,edible
Hydnum rufescens,edible
Hygrocybe miniata,edible
Hygrocybe punicea,edible
Hygrophorus agathosmus,edible
Hygrophorus chrysodon,edible
Hygrophorus gliocyclus,edible
Hygrophorus latitabundus,edible
Hygrophorus marzuolus,edible
Hygrophorus marzuolus var. alba,edible
Hygrophorus nemoreus,edible
Hygrophorus penarius,edible
Hygrophorus persoonii,edible
